datetime,fromNode,ch3Voltage,ch3Current,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2025-05-12 16:37:07.467941,0x433b0b38,13.2775,77.5,6.25,-57,1747092906,5,5
2025-05-12 16:42:07.858830,0x433b0b38,13.38625,72.5,6.0,-51,1747093207,5,5
2025-05-12 16:47:08.635373,0x433b0b38,13.42,70.0,6.75,-51,1747093507,5,5
2025-05-12 16:52:10.881584,0x433b0b38,13.44375,73.75,5.75,-50,1747093809,5,5
2025-05-12 16:57:10.621673,0x433b0b38,13.46125,68.75,6.5,-51,1747094109,5,5
2025-05-12 17:02:13.561363,0x433b0b38,13.47875,57.5,6.0,-51,1747094412,5,5
2025-05-12 17:07:14.522278,0x433b0b38,13.48375,56.25,6.75,-51,1747094713,5,5
2025-05-12 17:12:14.736421,0x433b0b38,13.48,76.25,6.75,-51,1747095013,5,5
2025-05-12 17:17:15.310646,0x433b0b38,13.47875,71.25,5.5,-50,1747095314,5,5
2025-05-12 17:22:18.342687,0x433b0b38,13.47625,71.25,6.0,-49,1747095617,5,5
2025-05-12 17:27:19.365077,0x433b0b38,13.47875,61.25,5.75,-50,1747095918,5,5
2025-05-12 17:32:20.100566,0x433b0b38,13.47875,62.5,6.5,-50,1747096219,5,5
2025-05-12 17:37:19.783245,0x433b0b38,13.4575,118.75,6.25,-50,1747096518,5,5
2025-05-12 17:42:21.207817,0x433b0b38,13.475,82.5,6.5,-49,1747096820,5,5
2025-05-12 17:47:23.500267,0x433b0b38,13.4775,60.0,6.5,-49,1747097122,5,5
2025-05-12 17:52:24.306758,0x433b0b38,13.455,118.75,6.5,-49,1747097423,5,5
2025-05-12 17:57:24.598727,0x433b0b38,13.45875,118.75,5.75,-50,1747097723,5,5
2025-05-12 18:02:27.933784,0x433b0b38,13.45125,123.75,6.75,-50,1747098026,5,5
2025-05-12 18:07:26.537190,0x433b0b38,13.46,120.0,6.25,-49,1747098325,5,5
2025-05-12 18:12:28.240996,0x433b0b38,13.47875,73.75,6.25,-50,1747098627,5,5
2025-05-12 18:17:29.401036,0x433b0b38,13.48125,72.5,6.75,-49,1747098928,5,5
2025-05-12 18:22:30.020936,0x433b0b38,13.4825,72.5,5.75,-50,1747099229,5,5
2025-05-12 18:27:31.290040,0x433b0b38,13.4875,70.0,6.5,-50,1747099530,5,5
2025-05-12 18:32:33.769901,0x433b0b38,13.4925,56.25,6.5,-50,1747099832,5,5
2025-05-12 18:37:33.475036,0x433b0b38,13.49625,57.5,6.25,-50,1747100132,5,5
2025-05-12 18:42:34.666606,0x433b0b38,13.50125,57.5,6.25,-50,1747100433,5,5
2025-05-12 18:47:35.830059,0x433b0b38,13.50625,58.75,6.25,-50,1747100734,5,5
2025-05-12 18:52:37.017155,0x433b0b38,13.50875,58.75,6.0,-50,1747101035,5,5
2025-05-12 18:57:38.821292,0x433b0b38,13.5125,58.75,6.0,-49,1747101337,5,5
2025-05-12 19:02:40.285696,0x433b0b38,13.51875,60.0,5.5,-49,1747101639,5,5
2025-05-12 19:07:41.077936,0x433b0b38,13.5225,77.5,6.0,-50,1747101939,5,5
2025-05-12 19:12:41.823108,0x433b0b38,13.5375,55.0,5.75,-50,1747102240,5,5
2025-05-12 19:17:43.528246,0x433b0b38,13.54125,70.0,6.0,-51,1747102542,5,5
2025-05-12 19:22:43.972340,0x433b0b38,13.55625,68.75,6.5,-50,1747102842,5,5
2025-05-12 19:27:46.054487,0x433b0b38,13.57375,70.0,6.25,-50,1747103144,5,5
2025-05-12 19:32:47.940747,0x433b0b38,13.605,58.75,6.25,-50,1747103446,5,5
2025-05-12 19:37:48.063020,0x433b0b38,13.64375,70.0,5.75,-51,1747103746,5,5
2025-05-12 19:42:48.671941,0x433b0b38,13.73625,53.75,5.75,-50,1747104047,5,5
2025-05-12 19:47:51.118814,0x433b0b38,14.0675,56.25,6.75,-50,1747104349,5,5
2025-05-12 19:52:51.574785,0x433b0b38,13.68,57.5,5.75,-50,1747104650,5,5
2025-05-12 19:57:52.657035,0x433b0b38,13.57625,57.5,5.75,-50,1747104951,5,5
2025-05-12 20:02:53.889235,0x433b0b38,13.52375,58.75,5.75,-50,1747105252,5,5
2025-05-12 20:07:54.969173,0x433b0b38,13.495,58.75,6.0,-49,1747105553,5,5
2025-05-12 20:12:56.959276,0x433b0b38,13.47125,60.0,6.0,-50,1747105855,5,5
2025-05-12 20:17:57.399386,0x433b0b38,13.455,58.75,5.75,-50,1747106156,5,5
2025-05-12 20:22:58.609665,0x433b0b38,13.44,55.0,5.75,-50,1747106457,5,5
2025-05-12 20:27:59.619379,0x433b0b38,13.42375,71.25,6.75,-49,1747106758,5,5
2025-05-12 20:33:01.537597,0x433b0b38,13.4125,72.5,6.25,-50,1747107060,5,5
2025-05-12 20:38:02.547208,0x433b0b38,13.40125,96.25,6.25,-50,1747107361,5,5
2025-05-12 20:43:03.242435,0x433b0b38,13.3975,68.75,6.25,-50,1747107662,5,5
2025-05-12 20:48:03.795367,0x433b0b38,13.39,66.25,6.25,-50,1747107962,5,5
2025-05-12 20:53:06.661491,0x433b0b38,13.3875,58.75,6.0,-49,1747108265,5,5
2025-05-12 20:58:07.216619,0x433b0b38,13.38125,61.25,6.0,-50,1747108565,5,5
2025-05-12 21:03:08.915800,0x433b0b38,13.37625,61.25,6.5,-50,1747108867,5,5
2025-05-12 21:08:09.615882,0x433b0b38,13.37125,56.25,6.25,-50,1747109168,5,5
